File Format: MDS
; @(#) $Source: /cvs/sr/src/gemini/lib_netlist/slib-sml/source/PHS_rf.dat,v $ $Revision: 1.1 $ $Date: 1997/12/17 12:01:55 $
Title: Equation data
Date: Tuesday, 4 June 1996 21:36:14 GMT
Plotname: XX x[0]
Flags: complex
No. Sweep Variables: 0
Sweep Variables:
No. Variables: 2
Variables:         0  IVAR  unknown type=real indep=yes
        1  _NMDEQN  unknown type=complex indep=no
Values:
0    0,0
    -.533819558042661,-.846047613455619
1    .5208333333323E-06,0
    -.465788947110212,-.885325104994079
2    .104166666666563E-05,0
    -.39488966382802,-.919147205995603
3    .156249999999896E-05,0
    -.321559996171374,-.947303443540502
4    .208333333333229E-05,0
    -.246251872052175,-.96961811021229
5    .260416666666562E-05,0
    -.169428006682576,-.9859519632602
6    .312499999999895E-05,0
    -.915282583730653E-01,-.996207659689805
7    .364583333333228E-05,0
    -.130945904887533E-01,-1.00031384866997
8    .416666666666561E-05,0
    .654229322473591E-01,-.998250712605615
9    .468749999999894E-05,0
    .143541322585839,-.990032990156403
10    .520833333333227E-05,0
    .220778575259193,-.975713434103135
11    .57291666666656E-05,0
    .296656862192634,-.95538190839938
12    .624999999999893E-05,0
    .370706063154891,-.929164381381429
13    .677083333333226E-05,0
    .442467434917759,-.897221942619957
14    .729166666666559E-05,0
    .511497172284421,-.859749909500371
15    .781249999999892E-05,0
    .577369626697308,-.816977011593647
16    .833333333333225E-05,0
    .639704939470854,-.76914544380243
17    .885416666666558E-05,0
    .698069431977895,-.716587979440811
18    .937499999999891E-05,0
    .752130847244951,-.659608849170518
19    .989583333333224E-05,0
    .801558083518919,-.598559998357054
20    .104166666666656E-04,0
    .84604761345562,-.533819558042659
21    .109374999999989E-04,0
    .88532510499408,-.465788947110211
22    .114583333333322E-04,0
    .919147205995603,-.394889663828019
23    .119791666666656E-04,0
    .947303443540503,-.321559996171373
24    .124999999999989E-04,0
    .96961811021229,-.246251872052173
25    .130208333333322E-04,0
    .9859519632602,-.169428006682575
26    .135416666666656E-04,0
    .996157395127191,-.914992381137264E-01
27    .140624999999989E-04,0
    1.00022084286146,-.130408935589908E-01
28    .145833333333322E-04,0
    .99813229492852,.654913007268428E-01
29    .151041666666656E-04,0
    .989913047957796,.143610571248676
30    .156249999999989E-04,0
    .975617544778318,.220833936989183
31    .161458333333322E-04,0
    .955331833887369,.296685772728281
32    .166666666666655E-04,0
    .929173102696474,.370701027903993
33    .171874999999989E-04,0
    .897290357747207,.442427935428248
34    .177083333333322E-04,0
    .859866012078739,.511430140432047
35    .182291666666655E-04,0
    .817117864159366,.577288305432943
36    .187499999999989E-04,0
    .769346945351056,.639541212614445
37    .192708333333322E-04,0
    .716810653018416,.697853184610456
38    .197916666666655E-04,0
    .659806680450432,.75190498404415
39    .203124999999989E-04,0
    .598690137340438,.801369865150201
40    .208333333333322E-04,0
    .533851826332849,.845938578024301
41    .213541666666655E-04,0
    .465713053272798,.885321711615775
42    .218749999999988E-04,0
    .394718423319566,.919254294280888
43    .223958333333322E-04,0
    .321327642719276,.947502095266349
44    .229166666666655E-04,0
    .24600758073268,.969868614429483
45    .234374999999988E-04,0
    .16922580982981,.98620149873785
46    .239583333333322E-04,0
    .914216131910922E-01,.99637802650834
47    .244791666666655E-04,0
    .13112264531677E-01,1.00036336955258
48    .249999999999988E-04,0
    -.652783326814811E-01,.998162488756243
49    .255208333333321E-04,0
    -.143295235173989,.989819889108243
50    .260416666666655E-04,0
    -.22048027826386,.97541676425555
51    .265624999999988E-04,0
    -.296369807938036,.955063748815174
52    .270833333333321E-04,0
    -.370494608550676,.928894936701768
53    .276041666666655E-04,0
    -.442382717380425,.897064463249333
54    .281249999999988E-04,0
    -.511565204365788,.859746385027346
55    .286458333333321E-04,0
    -.577584344330454,.817137836806921
56    .291666666666655E-04,0
    -.64003420115727,.76946876097532
57    .296874999999988E-04,0
    -.698448523664651,.717013511315129
58    .302083333333321E-04,0
    -.752481230873267,.660050999609082
59    .307291666666655E-04,0
    -.801803993185956,.598925403881614
60    .312499999999988E-04,0
    -.846132823987966,.534027208406129
61    .317708333333321E-04,0
    -.88522618046001,.465788559648315
62    .322916666666654E-04,0
    -.918880136524958,.394674169435594
63    .328124999999988E-04,0
    -.946921892423855,.321169093333344
64    .333333333333321E-04,0
    -.969203263145784,.245765431858159
65    .338541666666654E-04,0
    -.985595827810353,.168950297275006
66    .343749999999988E-04,0
    -.995957956096843,.911930776217474E-01
67    .348958333333321E-04,0
    -1.00023098055014,.129836394244744E-01
68    .354166666666654E-04,0
    -.998360617421506,-.652741930449993E-01
69    .359374999999987E-04,0
    -.990319869641322,-.143153765213736
70    .364583333333321E-04,0
    -.976121365150234,-.220227502215132
71    .369791666666654E-04,0
    -.955825378111371,-.296057952301049
72    .374999999999987E-04,0
    -.929545823547621,-.370191694902259
73    .380208333333321E-04,0
    -.897452721813199,-.442158171348575
74    .385416666666654E-04,0
    -.859770278575972,-.511474493455912
75    .390624999999987E-04,0
    -.816770594044426,-.577656009601259
76    .395833333333321E-04,0
    -.768754025022232,-.640155941510613
77    .401041666666654E-04,0
    -.716086705489036,-.698595484049465
78    .406249999999987E-04,0
    -.659100145779538,-.752621922460451
79    .41145833333332E-04,0
    -.598152213379756,-.801907242701795
80    .416666666666654E-04,0
    -.53360336577109,-.846174920608945
81    .421874999999987E-04,0
    -.465816628534862,-.88519659167933
82    .42708333333332E-04,0
    -.395161967353563,-.918784429548382
83    .432291666666654E-04,0
    -.322023815549023,-.946781083520539
84    .437499999999987E-04,0
    -.246809729770183,-.96904960237911
85    .44270833333332E-04,0
    -.16995776424728,-.985465839576463
86    .447916666666654E-04,0
    -.919501841419648E-01,-.995990540675034
87    .453124999999987E-04,0
    -.133099984526055E-01,-1.00043117714723
88    .45833333333332E-04,0
    .654707142026114E-01,-.99869576363804
89    .463541666666654E-04,0
    .143852629255696,-.990724774151148
90    .468749999999987E-04,0
    .221294910623793,-.976511086668996
91    .47395833333332E-04,0
    .29727129446903,-.956113145493162
92    .479166666666653E-04,0
    .371284770162833,-.929662343143263
93    .484374999999987E-04,0
    .442878126516977,-.897362608077445
94    .48958333333332E-04,0
    .511638413808579,-.859481767275958
95    .494791666666653E-04,0
    .577194628541167,-.816336006601174
96    .499999999999987E-04,0
    .63921929699297,-.768195111326126
97    .50520833333332E-04,0
    .697361852888957,-.71551737328512
98    .510416666666653E-04,0
    .751342639971987,-.65864179879575
99    .515624999999987E-04,0
    .800854341680456,-.597907225204864
100    .52083333333332E-04,0
    .845581884951853,-.533631474279888
101    .526041666666653E-04,0
    .885205062278265,-.466119645646006
102    .531249999999986E-04,0
    .919408948194842,-.395680614793611
103    .53645833333332E-04,0
    .947900494640556,-.322647987534181
104    .541666666666653E-04,0
    .970428200601383,-.247400561746284
105    .546874999999986E-04,0
    .986800888322792,-.170377183106799
106    .55208333333332E-04,0
    .996870457426721,-.920777431697915E-01
107    .557291666666653E-04,0
    1.0006320425099,-.130982992186979E-01
108    .562499999999986E-04,0
    .998136254800122,.659954521078266E-01
109    .56770833333332E-04,0
    .989491167172847,.14459259029736
110    .572916666666653E-04,0
    .974846085570086,.222098696605915
111    .578124999999986E-04,0
    .954369326612584,.297964723181906
112    .58333333333332E-04,0
    .928228912187208,.371708262144665
113    .588541666666653E-04,0
    .896580510380505,.442922720642645
114    .593749999999986E-04,0
    .859565486312426,.511272369272484
115    .598958333333319E-04,0
    .817319757811448,.576474265265517
116    .604166666666653E-04,0
    .769981831545541,.638195825044557
117    .609374999999986E-04,0
    .717764978845945,.696238127061559
118    .614583333333319E-04,0
    .660891118752709,.750352641171919
119    .619791666666653E-04,0
    .599678096110947,.800213277065039
120    .624999999999986E-04,0
    .534528021422284,.845438010728003
121    .630208333333319E-04,0
    .465921813893471,.885603932911545
122    .635416666666653E-04,0
    .394400973612431,.920278578346064
123    .640624999999986E-04,0
    .320539543874974,.949061724406665
124    .645833333333319E-04,0
    .244911508974128,.971629209249522
125    .651041666666652E-04,0
    .168060099046795,.987769428529496
126    .656249999999986E-04,0
    .905354858885799E-01,.997450470257192
127    .661458333333319E-04,0
    .127249017664304E-01,1.00067112703004
128    .666666666666652E-04,0
    -.650502394674525E-01,.9975953603948
129    .671874999999986E-04,0
    -.142469103976459,.988458936874522
130    .677083333333319E-04,0
    -.21921085563894,.973525765414649
131    .682291666666652E-04,0
    -.294921798147866,.953039773852707
132    .687499999999986E-04,0
    -.369189233381348,.927187000462865
133    .692708333333319E-04,0
    -.441528776601266,.896076673829603
134    .697916666666652E-04,0
    -.511389216228903,.859746228736821
135    .703124999999985E-04,0
    -.578175317746385,.818190105860898
