File Format: MDS
; @(#) $Source: /cvs/sr/src/gemini/lib_netlist/slib-sml/source/CDMA_rf.dat,v $ $Revision: 1.1 $ $Date: 1997/12/17 12:01:44 $
Title: Equation data
Date: Tuesday, 4 November 1997 21:45:20 GMT
Plotname: XX x[0]
Flags: complex
No. Sweep Variables: 0
Sweep Variables:
No. Variables: 2
Variables:         0  IVAR  unknown type=real indep=yes
        1  _NMDEQN  unknown type=complex indep=no
Values:
119    .24210612E-04,0
    -.18207214,-.4114006E-01
120    .244140625E-04,0
    -.32204157,-.21448331
121    .24617513E-04,0
    -.37394568,-.29230174
122    .248209635E-04,0
    -.34530473,-.24573242
123    .250244141E-04,0
    -.27646082,-.9535254E-01
124    .252278646E-04,0
    -.20301798,.9535254E-01
125    .254313151E-04,0
    -.1770052,.24573242
126    .256347656E-04,0
    -.1963643,.27965759
127    .258382161E-04,0
    -.24714289,.19739934
128    .260416667E-04,0
    -.30082689,.232639E-01
129    .262451172E-04,0
    -.33153747,-.17224346
130    .264485677E-04,0
    -.32510411,-.30668341
131    .266520182E-04,0
    -.27721181,-.35880275
132    .268554687E-04,0
    -.19092638,-.32383452
133    .270589193E-04,0
    -.7716905E-01,-.24712399
134    .272623698E-04,0
    .4786734E-01,-.1830815
135    .274658203E-04,0
    .1677897,-.16646426
136    .276692708E-04,0
    .26617912,-.19885518
137    .278727214E-04,0
    .32413005,-.25735264
138    .280761719E-04,0
    .32492225,-.29839248
139    .282796224E-04,0
    .26190181,-.31694439
140    .284830729E-04,0
    .15698844,-.296687
141    .286865234E-04,0
    .153981E-01,-.24890848
142    .28889974E-04,0
    -.12267012,-.1723908
143    .290934245E-04,0
    -.23187386,-.8816809E-01
144    .29296875E-04,0
    -.30839154,.175092E-01
145    .295003255E-04,0
    -.33118904,.14220037
146    .29703776E-04,0
    -.31905549,.27011638
147    .299072266E-04,0
    -.28360441,.36631441
148    .301106771E-04,0
    -.25292305,.3883569
149    .303141276E-04,0
    -.22316339,.30916598
150    .305175781E-04,0
    -.21281495,.15056861
151    .307210286E-04,0
    -.21770152,-.5634042E-01
152    .309244792E-04,0
    -.22806,-.22858467
153    .311279297E-04,0
    -.23501204,-.30213043
154    .313313802E-04,0
    -.23501204,-.26109058
155    .315348307E-04,0
    -.22806,-.11049547
156    .317382812E-04,0
    -.21770152,.7388233E-01
157    .319417318E-04,0
    -.21281495,.21639559
158    .321451823E-04,0
    -.22316339,.25972111
159    .323486328E-04,0
    -.25292305,.1868584
160    .325520833E-04,0
    -.29624857,.2575479E-01
161    .327555339E-04,0
    -.33613946,-.16203371
162    .329589844E-04,0
    -.3490652,-.32176198
163    .331624349E-04,0
    -.31675839,-.3904798
164    .333658854E-04,0
    -.22107261,-.37012779
165    .335693359E-04,0
    -.9020088E-01,-.28379417
166    .337727865E-04,0
    .6089917E-01,-.19081582
167    .33976237E-04,0
    .19793593,-.12299598
168    .341796875E-04,0
    .29308154,-.12299598
169    .34383138E-04,0
    .33100717,-.19081582
170    .345865885E-04,0
    .31164807,-.29643832
171    .347900391E-04,0
    .24895664,-.38721175
172    .349934896E-04,0
    .14828155,-.40835596
173    .351969401E-04,0
    .404985E-01,-.33012883
174    .354003906E-04,0
    -.7711163E-01,-.16387661
175    .356038411E-04,0
    -.19297654,.4114006E-01
176    .358072917E-04,0
    -.30401011,.21448331
177    .360107422E-04,0
    -.37045831,.29230174
178    .362141927E-04,0
    -.37946897,.23308827
179    .364176432E-04,0
    -.31291349,.7826857E-01
180    .366210937E-04,0
    -.18708651,-.1132287
181    .368245443E-04,0
    -.1346885E-01,-.25409928
182    .370279948E-04,0
    .14976474,-.26885633
183    .372314453E-04,0
    .25670916,-.1649301
184    .374348958E-04,0
    .27587726,.2223717E-01
185    .376383464E-04,0
    .20011014,.21319094
186    .378417969E-04,0
    .4911618E-01,.32521899
187    .380452474E-04,0
    -.13349487,.34780371
188    .382486979E-04,0
    -.29437791,.29347638
189    .384521484E-04,0
    -.390468,.22153466
190    .38655599E-04,0
    -.40081644,.17437461
191    .388590495E-04,0
    -.32959944,.19156466
192    .390625E-04,0
    -.18903928,.24441368
193    .392659505E-04,0
    -.3492727E-01,.29624996
194    .39469401E-04,0
    .10393315,.31541807
195    .396728516E-04,0
    .19554572,.29475908
196    .398763021E-04,0
    .22989265,.25414969
197    .400797526E-04,0
    .22282559,.22796625
198    .402832031E-04,0
    .20721647,.24007024
199    .404866536E-04,0
    .21445813,.28247735
200    .406901042E-04,0
    .24339399,.31744557
201    .408935547E-04,0
    .29697801,.29962966
202    .410970052E-04,0
    .33036185,.21712821
203    .413004557E-04,0
    .31150803,.6442153E-01
204    .415039062E-04,0
    .2252226,-.10149544
205    .417073568E-04,0
    .8242679E-01,-.22159216
206    .419108073E-04,0
    -.8242679E-01,-.24787495
207    .421142578E-04,0
    -.2252226,-.16788325
208    .423177083E-04,0
    -.31150803,-.976981E-02
209    .425211589E-04,0
    -.33036185,.17119855
210    .427246094E-04,0
    -.29697801,.31615729
211    .429280599E-04,0
    -.24339399,.38562367
212    .431315104E-04,0
    -.20181397,.37070065
213    .433349609E-04,0
    -.1901325,.28680906
214    .435384115E-04,0
    -.20494943,.16213685
215    .43741862E-04,0
    -.2215258,.2805014E-01
216    .439453125E-04,0
    -.20634698,-.9065898E-01
217    .44148763E-04,0
    -.13640239,-.18260055
218    .443522135E-04,0
    -.105738E-01,-.23382991
219    .445556641E-04,0
    .14809179,-.26500996
220    .447591146E-04,0
    .31106386,-.27065112
221    .449625651E-04,0
    .41181548,-.2617223
222    .451660156E-04,0
    .42082614,-.23697416
223    .453694661E-04,0
    .31996724,-.2252395
224    .455729167E-04,0
    .14220176,-.2244473
225    .457763672E-04,0
    -.7421658E-01,-.24125147
226    .459798177E-04,0
    -.24566863,-.2598794
227    .461832682E-04,0
    -.31477459,-.2860364
228    .463867187E-04,0
    -.26109058,-.29263486
229    .465901693E-04,0
    -.11049547,-.26641055
230    .467936198E-04,0
    .7388233E-01,-.19929323
231    .469970703E-04,0
    .21639559,-.9504522E-01
232    .472005208E-04,0
    .25972111,.3078337E-01
233    .474039714E-04,0
    .1868584,.15514554
234    .476074219E-04,0
    .2575479E-01,.25353496
235    .478108724E-04,0
    -.16203371,.30704608
236    .480143229E-04,0
    -.32176198,.30704608
237    .482177734E-04,0
    -.3904798,.25353496
238    .48421224E-04,0
    -.37012779,.1677897
239    .486246745E-04,0
    -.28379417,.4786734E-01
240    .48828125E-04,0
    -.17817166,-.7716905E-01
241    .490315755E-04,0
    -.10591201,-.19092638
242    .49235026E-04,0
    -.10511982,-.28985596
